Epoch: [2][81/100]	Time 0.238	Total_Loss 43.869	CrossLoss 1.937	RegLoss 41.932	image/sec 126.2	remaining 78m
Epoch: [2][82/100]	Time 0.240	Total_Loss 43.942	CrossLoss 2.026	RegLoss 41.916	image/sec 125.0	remaining 79m
Epoch: [2][83/100]	Time 0.250	Total_Loss 44.191	CrossLoss 2.292	RegLoss 41.899	image/sec 119.9	remaining 82m
Epoch: [2][84/100]	Time 0.240	Total_Loss 44.068	CrossLoss 2.186	RegLoss 41.882	image/sec 125.1	remaining 79m
Epoch: [2][85/100]	Time 0.242	Total_Loss 44.148	CrossLoss 2.283	RegLoss 41.866	image/sec 124.0	remaining 79m
Epoch: [2][86/100]	Time 0.247	Total_Loss 43.851	CrossLoss 2.002	RegLoss 41.849	image/sec 121.6	remaining 81m
Epoch: [2][87/100]	Time 0.246	Total_Loss 44.229	CrossLoss 2.397	RegLoss 41.832	image/sec 122.0	remaining 81m
Epoch: [2][88/100]	Time 0.254	Total_Loss 44.169	CrossLoss 2.353	RegLoss 41.815	image/sec 118.0	remaining 83m
Epoch: [2][89/100]	Time 0.240	Total_Loss 44.272	CrossLoss 2.474	RegLoss 41.798	image/sec 124.8	remaining 79m
Epoch: [2][90/100]	Time 0.250	Total_Loss 44.070	CrossLoss 2.289	RegLoss 41.781	image/sec 120.1	remaining 82m
Epoch: [2][91/100]	Time 0.244	Total_Loss 43.757	CrossLoss 1.993	RegLoss 41.764	image/sec 123.1	remaining 80m
Epoch: [2][92/100]	Time 0.246	Total_Loss 43.499	CrossLoss 1.751	RegLoss 41.747	image/sec 121.8	remaining 81m
Epoch: [2][93/100]	Time 0.258	Total_Loss 44.757	CrossLoss 3.027	RegLoss 41.730	image/sec 116.5	remaining 85m
Epoch: [2][94/100]	Time 0.255	Total_Loss 43.986	CrossLoss 2.273	RegLoss 41.713	image/sec 117.8	remaining 84m
Epoch: [2][95/100]	Time 0.239	Total_Loss 43.820	CrossLoss 2.124	RegLoss 41.696	image/sec 125.5	remaining 78m
Epoch: [2][96/100]	Time 0.245	Total_Loss 43.923	CrossLoss 2.244	RegLoss 41.679	image/sec 122.3	remaining 80m
Epoch: [2][97/100]	Time 0.236	Total_Loss 44.059	CrossLoss 2.398	RegLoss 41.662	image/sec 127.1	remaining 77m
Epoch: [2][98/100]	Time 0.244	Total_Loss 43.917	CrossLoss 2.272	RegLoss 41.645	image/sec 122.9	remaining 80m
Epoch: [2][99/100]	Time 0.243	Total_Loss 44.262	CrossLoss 2.635	RegLoss 41.627	image/sec 123.6	remaining 80m
Epoch: [2][100/100]	Time 0.559	Total_Loss 43.704	CrossLoss 2.094	RegLoss 41.610	image/sec 53.7	remaining 184m
Epoch: [3][1/100]	Time 0.345	Total_Loss 43.540	CrossLoss 1.948	RegLoss 41.593	image/sec 87.0	remaining 113m
Epoch: [3][2/100]	Time 0.242	Total_Loss 43.476	CrossLoss 1.900	RegLoss 41.575	image/sec 124.0	remaining 79m
Epoch: [3][3/100]	Time 0.230	Total_Loss 43.291	CrossLoss 1.733	RegLoss 41.558	image/sec 130.4	remaining 75m
Epoch: [3][4/100]	Time 0.241	Total_Loss 44.028	CrossLoss 2.488	RegLoss 41.540	image/sec 124.6	remaining 79m
Epoch: [3][5/100]	Time 0.247	Total_Loss 44.120	CrossLoss 2.597	RegLoss 41.523	image/sec 121.3	remaining 81m
